"No","Time","Source","Destination","Protocol","Length","Info","cat",""
"11","0.879114","fe80::1ce7:1592:0:377d","ff02::fb","MDNS","195","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR Andrei MacBook 13 Pro._companion-link._tcp.local","Normal",""
"12","1,447,563","192.168.100.15","192.168.1.200","TCP","78","49179 → distinct(9999) [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3883154150 TSecr=0 SACK_PERM","Anomaly",""
"13","1,447,592","192.168.100.15","192.168.1.200","TCP","78","49180 → distinct(9999) [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2078133272 TSecr=0 SACK_PERM","Anomaly",""
"14","1,465,950","192.168.100.15","192.168.1.200","TCP","78","49181 → distinct(9999) [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=534362456 TSecr=0 SACK_PERM","Anomaly",""
"15","1,525,132","192.168.100.15","192.168.100.1","DNS","132","Standard query 0x89dd PTR f.1.9.f.e.b.1.c.9.2.3.2.a.7.c.3.0.0.2.9.d.0.2.e.a.0.f.2.2.0.a.2.ip6.arpa","Normal",""
"16","1,525,238","192.168.100.15","192.168.100.1","DNS","132","Standard query 0x66df PTR 0.8.1.0.0.0.0.0.0.0.0.0.0.0.0.0.2.3.0.0.2.0.8.4.0.6.8.4.1.0.0.2.ip6.arpa","Normal",""
"17","1,525,343","192.168.100.15","192.168.100.1","DNS","86","Standard query 0x77cb PTR 1.100.168.192.in-addr.arpa","Normal",""
"18","1,525,472","192.168.100.15","192.168.100.1","DNS","132","Standard query 0xfe45 PTR d.7.7.3.0.0.0.0.2.9.5.1.7.e.c.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","Normal",""
"19","1,525,577","192.168.100.15","192.168.100.1","DNS","132","Standard query 0xa231 PTR b.f.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa","Normal",""
"20","1,525,674","192.168.100.15","192.168.100.1","DNS","87","Standard query 0x9fb3 PTR 30.100.168.192.in-addr.arpa","Normal",""
"21","1,525,787","192.168.100.15","192.168.100.1","DNS","84","Standard query 0xa5c0 PTR 251.0.0.224.in-addr.arpa","Normal",""
"22","1,531,198","192.168.100.1","192.168.100.15","DNS","132","Standard query response 0x66df No such name PTR 0.8.1.0.0.0.0.0.0.0.0.0.0.0.0.0.2.3.0.0.2.0.8.4.0.6.8.4.1.0.0.2.ip6.arpa","Normal",""
"23","1,531,200","192.168.100.1","192.168.100.15","DNS","86","Standard query response 0x77cb No such name PTR 1.100.168.192.in-addr.arpa","Normal",""
"24","1,532,923","192.168.100.1","192.168.100.15","DNS","132","Standard query response 0xfe45 No such name PTR d.7.7.3.0.0.0.0.2.9.5.1.7.e.c.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","Normal",""
"25","1,532,925","192.168.100.1","192.168.100.15","DNS","132","Standard query response 0xa231 No such name PTR b.f.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa","Normal",""
"26","1,532,926","192.168.100.1","192.168.100.15","DNS","87","Standard query response 0x9fb3 No such name PTR 30.100.168.192.in-addr.arpa","Normal",""
"27","1,533,981","192.168.100.1","192.168.100.15","DNS","112","Standard query response 0xa5c0 PTR 251.0.0.224.in-addr.arpa PTR mdns.mcast.net","Normal",""
"28","1,581,617","192.168.100.1","192.168.100.15","DNS","132","Standard query response 0x7f42 Server failure PTR f.1.9.f.e.b.1.c.9.2.3.2.a.7.c.3.0.0.2.9.d.0.2.e.a.0.f.2.2.0.a.2.ip6.arpa","Normal",""
"29","1,581,619","192.168.100.1","192.168.100.15","DNS","132","Standard query response 0x89dd Server failure PTR f.1.9.f.e.b.1.c.9.2.3.2.a.7.c.3.0.0.2.9.d.0.2.e.a.0.f.2.2.0.a.2.ip6.arpa","Normal",""
"30","1,581,760","192.168.100.15","192.168.100.1","ICMP","70","Destination unreachable (Port unreachable)","Anomaly",""
"31","1,617,530","192.168.100.15","192.168.1.200","TCP","78","49182 → distinct(9999) [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2549474442 TSecr=0 SACK_PERM","Anomaly",""
"32","1,705,444","fe80::1ce7:1592:0:377d","fe80::1096:6b69:2011:76a8","ICMPv6","86","Neighbor Solicitation for fe80::1096:6b69:2011:76a8 from be:6e:ea:5f:92:11","Normal",""
"33","1,705,641","fe80::1096:6b69:2011:76a8","fe80::1ce7:1592:0:377d","ICMPv6","78","Neighbor Advertisement fe80::1096:6b69:2011:76a8 (sol)","Normal",""
"34","1,723,620","fe80::1096:6b69:2011:76a8","fe80::1ce7:1592:0:377d","ICMPv6","86","Neighbor Solicitation for fe80::1ce7:1592:0:377d from b0:be:83:61:b5:29","Normal",""
"35","1,729,238","fe80::1ce7:1592:0:377d","fe80::1096:6b69:2011:76a8","ICMPv6","78","Neighbor Advertisement fe80::1ce7:1592:0:377d (sol)","Normal",""
"36","1,770,297","192.168.100.15","192.168.1.200","TCP","78","49183 → distinct(9999) [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3025777285 TSecr=0 SACK_PERM","Anomaly",""
"37","2,053,679","192.168.100.15","192.168.1.200","TCP","78","49184 → distinct(9999) [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3444036645 TSecr=0 SACK_PERM","Anomaly",""
"38","2,203,945","192.168.100.15","192.168.1.200","TCP","78","49185 → distinct(9999) [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1731467558 TSecr=0 SACK_PERM","Anomaly",""
"39","2,354,118","192.168.100.15","192.168.1.200","TCP","78","49186 → distinct(9999) [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3120650962 TSecr=0 SACK_PERM","Anomaly",""
"40","2,447,703","192.168.100.15","192.168.1.200","TCP","78","[TCP Retransmission] 49180 → distinct(9999) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2078134273 TSecr=0 SACK_PERM","Anomaly",""
"41","2,447,828","192.168.100.15","192.168.1.200","TCP","78","[TCP Retransmission] 49179 → distinct(9999) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3883155151 TSecr=0 SACK_PERM","Anomaly",""
"42","2,466,928","192.168.100.15","192.168.1.200","TCP","78","[TCP Retransmission] 49181 → distinct(9999) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=534363457 TSecr=0 SACK_PERM","Anomaly",""
"43","2,487,318","192.168.100.15","192.168.1.200","TCP","78","49187 → distinct(9999) [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1403981860 TSecr=0 SACK_PERM","Anomaly",""
"44","2,525,638","192.168.100.15","192.168.100.1","DNS","86","Standard query 0x29f7 PTR 200.1.168.192.in-addr.arpa","Normal",""
"45","2,525,702","192.168.100.15","192.168.100.1","DNS","132","Standard query 0xda2a PTR 8.a.6.7.1.1.0.2.9.6.b.6.6.9.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","Normal",""
"46","2,535,166","192.168.100.1","192.168.100.15","DNS","143","Standard query response 0x29f7 No such name PTR 200.1.168.192.in-addr.arpa SOA ns1.rdsnet.ro","Normal",""
"47","2,536,819","192.168.100.1","192.168.100.15","DNS","181","Standard query response 0xda2a No such name PTR 8.a.6.7.1.1.0.2.9.6.b.6.6.9.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa SOA 8.E.F.IP6.ARPA","Normal",""
"48","2,617,533","192.168.100.15","192.168.1.200","TCP","78","[TCP Retransmission] 49182 → distinct(9999) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2549475443 TSecr=0 SACK_PERM","Anomaly",""
"49","2,653,556","192.168.100.15","192.168.1.200","TCP","78","49188 → distinct(9999) [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1583828152 TSecr=0 SACK_PERM","Anomaly",""
"50","2,734,846","fe80::1096:6b69:2011:76a8","fe80::82e1:bfff:fe48:6e18","ICMPv6","86","Neighbor Solicitation for fe80::82e1:bfff:fe48:6e18 from b0:be:83:61:b5:29","Normal",""
"51","2,738,572","fe80::82e1:bfff:fe48:6e18","fe80::1096:6b69:2011:76a8","ICMPv6","78","Neighbor Advertisement fe80::82e1:bfff:fe48:6e18 (rtr, sol)","Normal",""
"52","2,769,871","192.168.100.15","192.168.1.200","TCP","78","[TCP Retransmission] 49183 → distinct(9999) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3025778286 TSecr=0 SACK_PERM","Anomaly",""
"53","2,803,669","192.168.100.15","192.168.1.200","TCP","78","49189 → distinct(9999) [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3101129526 TSecr=0 SACK_PERM","Anomaly",""
"54","2,935,826","192.168.100.15","192.168.1.200","TCP","78","49190 → distinct(9999) [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=359575940 TSecr=0 SACK_PERM","Anomaly",""
"55","3,054,069","192.168.100.15","192.168.1.200","TCP","78","[TCP Retransmission] 49184 → distinct(9999) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3444037646 TSecr=0 SACK_PERM","Anomaly",""
"56","3,086,994","192.168.100.15","192.168.1.200","TCP","78","49191 → distinct(9999) [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2413203215 TSecr=0 SACK_PERM","Anomaly",""
"57","3,205,293","192.168.100.15","192.168.1.200","TCP","78","[TCP Retransmission] 49185 → distinct(9999) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1731468559 TSecr=0 SACK_PERM","Anomaly",""
"58","3,237,060","192.168.100.15","192.168.1.200","TCP","78","49192 → distinct(9999) [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3423727510 TSecr=0 SACK_PERM","Anomaly",""
"59","3,342,320","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","2001:4860:4802:32::180","TLSv1.2","546","Application Data","Normal",""
"60","3,342,642","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","2001:4860:4802:32::180","TLSv1.2","120","Application Data","Normal",""
"61","3,355,059","192.168.100.15","192.168.1.200","TCP","78","[TCP Retransmission] 49186 → distinct(9999) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3120651963 TSecr=0 SACK_PERM","Anomaly",""
"62","3,361,012","2001:4860:4802:32::180","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","TCP","86","https(443) → 58453 [ACK] Seq=40 Ack=534 Win=1045 Len=0 TSval=583964221 TSecr=887148976","Normal",""
"63","3,386,932","192.168.100.15","192.168.1.200","TCP","78","49193 → distinct(9999) [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=450094449 TSecr=0 SACK_PERM","Anomaly",""
"64","3,449,198","192.168.100.15","192.168.1.200","TCP","78","[TCP Retransmission] 49180 → distinct(9999) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2078135274 TSecr=0 SACK_PERM","Anomaly",""
"65","3,449,265","192.168.100.15","192.168.1.200","TCP","78","[TCP Retransmission] 49179 → distinct(9999) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3883156152 TSecr=0 SACK_PERM","Anomaly",""
"66","3,468,372","192.168.100.15","192.168.1.200","TCP","78","[TCP Retransmission] 49181 → distinct(9999) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=534364458 TSecr=0 SACK_PERM","Anomaly",""
"67","3,488,481","192.168.100.15","192.168.1.200","TCP","78","[TCP Retransmission] 49187 → distinct(9999) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1403982862 TSecr=0 SACK_PERM","Anomaly",""
"68","3,520,330","192.168.100.15","192.168.1.200","TCP","78","49194 → distinct(9999) [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2083477861 TSecr=0 SACK_PERM","Anomaly",""
"69","3,525,306","192.168.100.15","192.168.100.1","DNS","132","Standard query 0xddb6 PTR 8.1.e.6.8.4.e.f.f.f.f.b.1.e.2.8.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa","Normal",""
"70","3,533,050","192.168.100.1","192.168.100.15","DNS","181","Standard query response 0xddb6 No such name PTR 8.1.e.6.8.4.e.f.f.f.f.b.1.e.2.8.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa SOA 8.E.F.IP6.ARPA","Normal",""
"71","3,552,063","2001:4860:4802:32::180","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","TLSv1.2","597","Application Data","Normal",""
"72","3,552,064","2001:4860:4802:32::180","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","TLSv1.2","120","Application Data","Normal",""
"73","3,552,065","2001:4860:4802:32::180","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","TLSv1.2","117","Application Data","Normal",""
"74","3,552,066","2001:4860:4802:32::180","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","TLSv1.2","125","Application Data","Normal",""
"75","3,552,524","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","2001:4860:4802:32::180","TCP","86","58453 → https(443) [ACK] Seq=534 Ack=655 Win=2038 Len=0 TSval=887149186 TSecr=583964412","Normal",""
"76","3,553,156","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","2001:4860:4802:32::180","TLSv1.2","125","Application Data","Normal",""
"77","3,558,673","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","2001:4860:4802:32::180","TLSv1.2","514","Application Data","Normal",""
"78","3,576,851","2001:4860:4802:32::180","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","TCP","86","https(443) → 58453 [ACK] Seq=655 Ack=573 Win=1045 Len=0 TSval=583964436 TSecr=887149186","Normal",""
"79","3,576,852","2001:4860:4802:32::180","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","TCP","86","https(443) → 58453 [ACK] Seq=655 Ack=1001 Win=1045 Len=0 TSval=583964436 TSecr=887149193","Normal",""
"80","3,594,688","2001:4860:4802:32::180","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","TLSv1.2","595","Application Data","Normal",""
"81","3,594,694","2001:4860:4802:32::180","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","TLSv1.2","119","Application Data","Normal",""
"82","3,594,695","2001:4860:4802:32::180","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","TLSv1.2","117","Application Data","Normal",""
"83","3,594,695","2001:4860:4802:32::180","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","TLSv1.2","125","Application Data","Normal",""
"84","3,594,994","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","2001:4860:4802:32::180","TCP","86","58453 → https(443) [ACK] Seq=1001 Ack=1267 Win=2038 Len=0 TSval=887149229 TSecr=583964455","Normal",""
"85","3,595,413","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","2001:4860:4802:32::180","TLSv1.2","125","Application Data","Normal",""
"86","3,618,553","192.168.100.15","192.168.1.200","TCP","78","[TCP Retransmission] 49182 → distinct(9999) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2549476444 TSecr=0 SACK_PERM","Anomaly",""
"87","3,618,767","2001:4860:4802:32::180","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","TCP","86","https(443) → 58453 [ACK] Seq=1267 Ack=1040 Win=1045 Len=0 TSval=583964478 TSecr=887149229","Normal",""
"88","3,653,817","192.168.100.15","192.168.1.200","TCP","78","[TCP Retransmission] 49188 → distinct(9999) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1583829153 TSecr=0 SACK_PERM","Anomaly",""
"89","3,669,613","192.168.100.15","192.168.1.200","TCP","78","49195 → distinct(9999) [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3411665198 TSecr=0 SACK_PERM","Anomaly",""
"90","3,771,066","192.168.100.15","192.168.1.200","TCP","78","[TCP Retransmission] 49183 → distinct(9999) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3025779287 TSecr=0 SACK_PERM","Anomaly",""
"91","3,805,211","192.168.100.15","192.168.1.200","TCP","78","[TCP Retransmission] 49189 → distinct(9999) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3101130527 TSecr=0 SACK_PERM","Anomaly",""
"92","3,820,282","192.168.100.15","192.168.1.200","TCP","78","49196 → distinct(9999) [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1142915038 TSecr=0 SACK_PERM","Anomaly",""
"93","3,936,333","192.168.100.15","192.168.1.200","TCP","78","[TCP Retransmission] 49190 → distinct(9999) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=359576941 TSecr=0 SACK_PERM","Anomaly",""
"94","3,971,496","192.168.100.15","192.168.1.200","TCP","78","49197 → distinct(9999) [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2858736567 TSecr=0 SACK_PERM","Anomaly",""
"95","4,055,505","192.168.100.15","192.168.1.200","TCP","78","[TCP Retransmission] 49184 → distinct(9999) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3444038648 TSecr=0 SACK_PERM","Anomaly",""
"96","4,087,383","192.168.100.15","192.168.1.200","TCP","78","[TCP Retransmission] 49191 → distinct(9999) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2413204215 TSecr=0 SACK_PERM","Anomaly",""
"97","4,129,541","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","2001:4860:4802:32::180","TLSv1.2","593","Application Data","Normal",""
"98","4,129,826","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","2001:4860:4802:32::180","TLSv1.2","120","Application Data","Normal",""
"99","4,147,943","2001:4860:4802:32::180","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","TCP","86","https(443) → 58453 [ACK] Seq=1267 Ack=1547 Win=1045 Len=0 TSval=583965008 TSecr=887149764","Normal",""
"100","4,147,948","2001:4860:4802:32::180","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","TCP","86","https(443) → 58453 [ACK] Seq=1267 Ack=1581 Win=1045 Len=0 TSval=583965009 TSecr=887149764","Normal",""
"101","4,206,611","192.168.100.15","192.168.1.200","TCP","78","[TCP Retransmission] 49185 → distinct(9999) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1731469561 TSecr=0 SACK_PERM","Anomaly",""
"102","4,236,883","192.168.100.15","192.168.1.200","TCP","78","[TCP Retransmission] 49192 → distinct(9999) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3423728511 TSecr=0 SACK_PERM","Anomaly",""
"103","4,355,200","192.168.100.15","192.168.1.200","TCP","78","[TCP Retransmission] 49186 → distinct(9999) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3120652963 TSecr=0 SACK_PERM","Anomaly",""
"104","4,387,443","192.168.100.15","192.168.1.200","TCP","78","[TCP Retransmission] 49193 → distinct(9999) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=450095451 TSecr=0 SACK_PERM","Anomaly",""
"105","4,388,204","2001:4860:4802:32::180","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","TLSv1.2","595","Application Data","Normal",""
"106","4,388,206","2001:4860:4802:32::180","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","TLSv1.2","120","Application Data","Normal",""
"107","4,388,207","2001:4860:4802:32::180","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","TLSv1.2","117","Application Data","Normal",""
"108","4,388,208","2001:4860:4802:32::180","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","TLSv1.2","125","Application Data","Normal",""
"109","4,388,617","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","2001:4860:4802:32::180","TCP","86","58453 → https(443) [ACK] Seq=1581 Ack=1880 Win=2038 Len=0 TSval=887150023 TSecr=583965248","Normal",""
"110","4,389,154","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","2001:4860:4802:32::180","TLSv1.2","125","Application Data","Normal",""
"111","4,394,223","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","2001:4860:4802:32::180","TCP","1466","58453 → https(443) [ACK] Seq=1620 Ack=1880 Win=2048 Len=1380 TSval=887150028 TSecr=583965248 [TCP segment of a reassembled PDU]","Normal",""
"112","4,394,301","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","2001:4860:4802:32::180","TLSv1.2","236","Application Data","Normal",""
"113","4,407,736","2001:4860:4802:32::180","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","TCP","86","https(443) → 58453 [ACK] Seq=1880 Ack=1620 Win=1045 Len=0 TSval=583965267 TSecr=887150023","Normal",""
"114","4,413,090","2001:4860:4802:32::180","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","TCP","86","https(443) → 58453 [ACK] Seq=1880 Ack=3000 Win=1045 Len=0 TSval=583965273 TSecr=887150028","Normal",""
"115","4,413,093","2001:4860:4802:32::180","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","TCP","86","https(443) → 58453 [ACK] Seq=1880 Ack=3150 Win=1045 Len=0 TSval=583965273 TSecr=887150028","Normal",""
"116","4,441,721","2001:4860:4802:32::180","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","TLSv1.2","594","Application Data","Normal",""
"117","4,441,723","2001:4860:4802:32::180","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","TLSv1.2","119","Application Data","Normal",""
"118","4,441,724","2001:4860:4802:32::180","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","TLSv1.2","117","Application Data","Normal",""
"119","4,441,726","2001:4860:4802:32::180","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","TLSv1.2","125","Application Data","Normal",""
"120","4,442,145","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","2001:4860:4802:32::180","TCP","86","58453 → https(443) [ACK] Seq=3150 Ack=2491 Win=2038 Len=0 TSval=887150076 TSecr=583965302","Normal",""
"121","4,442,722","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","2001:4860:4802:32::180","TLSv1.2","125","Application Data","Normal",""
"122","4,449,644","192.168.100.15","192.168.1.200","TCP","78","[TCP Retransmission] 49180 → distinct(9999) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2078136275 TSecr=0 SACK_PERM","Anomaly",""
"123","4,449,732","192.168.100.15","192.168.1.200","TCP","78","[TCP Retransmission] 49179 → distinct(9999) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3883157153 TSecr=0 SACK_PERM","Anomaly",""
"124","4,466,893","2001:4860:4802:32::180","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","TCP","86","https(443) → 58453 [ACK] Seq=2491 Ack=3189 Win=1045 Len=0 TSval=583965326 TSecr=887150076","Normal",""
"125","4,468,423","192.168.100.15","192.168.1.200","TCP","78","[TCP Retransmission] 49181 → distinct(9999) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=534365459 TSecr=0 SACK_PERM","Anomaly",""
"126","4,489,605","192.168.100.15","192.168.1.200","TCP","78","[TCP Retransmission] 49187 → distinct(9999) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1403983863 TSecr=0 SACK_PERM","Anomaly",""
"127","4,520,859","192.168.100.15","192.168.1.200","TCP","78","[TCP Retransmission] 49194 → distinct(9999) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2083478862 TSecr=0 SACK_PERM","Anomaly",""
"128","4,620,132","192.168.100.15","192.168.1.200","TCP","78","[TCP Retransmission] 49182 → distinct(9999) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2549477445 TSecr=0 SACK_PERM","Anomaly",""
"129","4,655,317","192.168.100.15","192.168.1.200","TCP","78","[TCP Retransmission] 49188 → distinct(9999) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1583830154 TSecr=0 SACK_PERM","Anomaly",""
"130","4,670,490","192.168.100.15","192.168.1.200","TCP","78","[TCP Retransmission] 49195 → distinct(9999) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3411666200 TSecr=0 SACK_PERM","Anomaly",""
"131","4,771,684","192.168.100.15","192.168.1.200","TCP","78","[TCP Retransmission] 49183 → distinct(9999) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3025780288 TSecr=0 SACK_PERM","Anomaly",""
"132","4,805,876","192.168.100.15","192.168.1.200","TCP","78","[TCP Retransmission] 49189 → distinct(9999) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3101131528 TSecr=0 SACK_PERM","Anomaly",""
